url_key,name,description,categories_slug,status,sku,weight,inventory_sources,inventories,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,color,size,user_id,country,delivery_charge,brand
Generic-Cotton-Double-Bed-Sheet-with-2-Pillow-Covers-Color-Multi-color-PID35601,Generic Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color),"Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color)<br>Bedsheet:215X240cm<br>Pillows:43x69cm<br>Thread Count: 140<br>Wash care: Machine wash or Hand wash. Do not bleach, Do not tumble dry, Do not soak for long time.<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",home-furnishings,1,BS42BEAYYYhem-Blue,750,default,98,423,,"https://live.staticflickr.com/65535/51209091279_81a24bf9be_o_d.jpg,https://live.staticflickr.com/65535/51209091279_81a24bf9be_o_d.jpg",Generic Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color),"Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color)<br>Bedsheet:215X240cm<br>Pillows:43x69cm<br>Thread Count: 140<br>Wash care: Machine wash or Hand wash. Do not bleach, Do not tumble dry, Do not soak for long time.<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,20,20,20,22,simple,Default,1,hey,Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color),,,,Red,M,1,IN,0,Nike
Generic-Cotton-Double-Bed-Sheet-with-2-Pillow-Covers-Color-Multi-color-PID35602,Generic Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color),"Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color)<br>Bedsheet:215X240cm<br>Pillows:43x69cm<br>Thread Count: 140<br>Wash care: Machine wash or Hand wash. Do not bleach, Do not tumble dry, Do not soak for long time.<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",home-furnishings,1,BS42BEAYYYhem-Yellow,750,default,98,423,,"https://live.staticflickr.com/65535/51209393695_37c9cddbc1_o_d.jpg,https://live.staticflickr.com/65535/51209393695_37c9cddbc1_o_d.jpg",Generic Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color),"Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color)<br>Bedsheet:215X240cm<br>Pillows:43x69cm<br>Thread Count: 140<br>Wash care: Machine wash or Hand wash. Do not bleach, Do not tumble dry, Do not soak for long time.<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,20,20,20,22,simple,Default,1,hey,Cotton Double Bed Sheet with 2 Pillow Covers (Color:Multi color),,,,Red,M,1,IN,0,Nike
