url_key,name,description,categories_slug,status,sku,inventory_sources,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,user_id,country,delivery_charge,barcode,min_price,max_price,super_attributes,super_attribute_option,super_attribute_price,super_attribute_qty,super_attribute_weight
generic-womens-heavychandericotton-saree-with-blouse-green-5-6mtrs-pid39792,"Generic Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)","Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)<br>Color:Green, <br>Material:Heavy Chanderi Cotton<br>Size: 5-6 Mtrs, <br>Blouse: Unstiched<br>Occassion: Casual, Festive Wear, <br>Gender:Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bsb671yyy03136,default,991,,"https://live.staticflickr.com/65535/52037404113_ded1734fd7_o_d.jpg,https://live.staticflickr.com/65535/52037404113_ded1734fd7_o_d.jpg","Generic Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)","Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)<br>Color:Green, <br>Material:Heavy Chanderi Cotton<br>Size: 5-6 Mtrs, <br>Blouse: Unstiched<br>Occassion: Casual, Festive Wear, <br>Gender:Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,Saree,1,,"Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)",900,,,1,"[""IN""]",100,0,900,991,,,,,
generic-womens-heavy-chanderi-cotton-saree-with-blouse-green-5-6mtrs-pid39792,"Generic Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)","Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)<br>Color:Green, <br>Material:Heavy Chanderi Cotton<br>Size: 5-6 Mtrs, <br>Blouse: Unstiched<br>Occassion: Casual, Festive Wear, <br>Gender:Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb671yyy03136-green-women-heavy-chanderi-cotton,default,991,,,,"Women's Heavy Chanderi Cotton Saree With Blouse (Green, 5-6mtrs)<br>Color:Green, <br>Material:Heavy Chanderi Cotton<br>Size: 5-6 Mtrs, <br>Blouse: Unstiched<br>Occassion: Casual, Festive Wear, <br>Gender:Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,Saree,1,,,900,,,1,"[""IN""]",100,0,900,991,"color,gender,material","Green,Women,Heavy Chanderi Cotton",991,50,450
