url_key,name,description,categories_slug,status,sku,inventory_sources,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,user_id,country,delivery_charge,barcode,min_price,max_price,super_attributes,super_attribute_option,super_attribute_price,super_attribute_qty,super_attribute_weight
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36125,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",bedsheets,1,bsb46bedjyyyc_89,default,686,,"https://live.staticflickr.com/65535/51336575344_bd4a68c2d9_o_d.jpg,https://live.staticflickr.com/65535/51336575329_2123fc3de0_o_d.jpg","Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Cotton Double Bed Sheet ",623,,,1,"[""IN"",""US""]",10,0,623,686,,,,,
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36125,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb46bedjyyyc_89-multi-color-cotton-1-double-bedsheet-with-2-pillow-covers,default,686,,,,"Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,623,,,1,"[""IN"",""US""]",10,0,623,686,"color,material,package contains","Multi color,Cotton,1 Double Bedsheet With 2 Pillow Covers",686,42,880
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36126,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",bedsheets,1,bsb46bedjyyyc_90,default,686,,"https://live.staticflickr.com/65535/51336575349_4c96a124c0_o_d.jpg,https://live.staticflickr.com/65535/51336850145_d9c797059c_o_d.jpg","Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Cotton Double Bed Sheet ",623,,,1,"[""IN"",""US""]",10,0,623,686,,,,,
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36126,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb46bedjyyyc_90-multi-color-cotton-1-double-bedsheet-with-2-pillow-covers,default,686,,,,"Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,623,,,1,"[""IN"",""US""]",10,0,623,686,"color,material,package contains","Multi color,Cotton,1 Double Bedsheet With 2 Pillow Covers",686,19,880
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36127,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",bedsheets,1,bsb46bedjyyyc_91,default,686,,"https://live.staticflickr.com/65535/51336063833_b494416794_o_d.jpg,https://live.staticflickr.com/65535/51336063803_e66f6c25bf_o_d.jpg","Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Cotton Double Bed Sheet ",623,,,1,"[""IN"",""US""]",10,0,623,686,,,,,
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36127,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb46bedjyyyc_91-multi-color-cotton-1-double-bedsheet-with-2-pillow-covers,default,686,,,,"Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,623,,,1,"[""IN"",""US""]",10,0,623,686,"color,material,package contains","Multi color,Cotton,1 Double Bedsheet With 2 Pillow Covers",686,40,880
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36128,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",bedsheets,1,bsb46bedjyyyc_92,default,686,,"https://live.staticflickr.com/65535/51335847561_bf79c5b7e4_o_d.jpg,https://live.staticflickr.com/65535/51335120752_1bb848b2b8_o_d.jpg","Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Cotton Double Bed Sheet ",623,,,1,"[""IN"",""US""]",10,0,623,686,,,,,
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36128,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb46bedjyyyc_92-multi-color-cotton-1-double-bedsheet-with-2-pillow-covers,default,686,,,,"Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,623,,,1,"[""IN"",""US""]",10,0,623,686,"color,material,package contains","Multi color,Cotton,1 Double Bedsheet With 2 Pillow Covers",686,47,880
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36129,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",bedsheets,1,bsb46bedjyyyc_93,default,686,,"https://live.staticflickr.com/65535/51336063773_792bc888a8_o_d.jpg,https://live.staticflickr.com/65535/51336063743_354b1a5f95_o_d.jpg","Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Cotton Double Bed Sheet ",623,,,1,"[""IN"",""US""]",10,0,623,686,,,,,
wekart-cotton-double-bed-sheet-king-size-228x254cm-with-2-pillow-covers-color-multi-color-material-cotton-pid36129,"Wekart Cotton Double Bed Sheet King Size 228X254Cm with 2 Pillow Covers (Color: Multi Color, Material: Cotton)","Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb46bedjyyyc_93-multi-color-cotton-1-double-bedsheet-with-2-pillow-covers,default,686,,,,"Cotton Double Bed Sheet <br>Material: Cotton, <br> Color: Multi Color, <br> Thread Count: 210<br>Bed Sheet: King Size 228X254 Cm, Pillows: 43X68 Cm<br> Pack Contents: 1 Double Bedsheet With 2 Pillow Covers<br> Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,623,,,1,"[""IN"",""US""]",10,0,623,686,"color,material,package contains","Multi color,Cotton,1 Double Bedsheet With 2 Pillow Covers",686,13,880
