url_key,name,description,categories_slug,status,sku,inventory_sources,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,user_id,country,delivery_charge,barcode,min_price,max_price,super_attributes,super_attribute_option,super_attribute_price,super_attribute_qty,super_attribute_weight
wekart-womens-handloom-cotton-soft-silk-saree-multi-55-6mtrs-24203,"Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs)","Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs), <br> Color : Multi, <br> Saree Fabric : Handloom Cotton Soft Silk, <br> Saree Length : 5.5 Mtr, <br> Blouse Length : 0.8 Mtr, <br> Work Type : Digital Print, <br> Occasion : PartyWear, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions
",sarees,1,bsa1sa3yyy6730,default,1207,,https://live.staticflickr.com/65535/48676747746_26104b461a_o_d.jpg,"Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs)","Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs), <br> Color : Multi, <br> Saree Fabric : Handloom Cotton Soft Silk, <br> Saree Length : 5.5 Mtr, <br> Blouse Length : 0.8 Mtr, <br> Work Type : Digital Print, <br> Occasion : PartyWear, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions
",0,0,1,,,,,configurable,Saree,1,,"Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs), ",1097,,,1,"[""AU"",""IN""]",100,0,1097,1207,,,,,
wekart-womens-handloom-cotton-soft-silk-saree-multi-55-6mtrs-24203,"Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs)","Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs), <br> Color : Multi, <br> Saree Fabric : Handloom Cotton Soft Silk, <br> Saree Length : 5.5 Mtr, <br> Blouse Length : 0.8 Mtr, <br> Work Type : Digital Print, <br> Occasion : PartyWear, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions
",,1,bsa1sa3yyy6730-multi-women-handloom-cotton-soft-silk,default,1207,,,,"Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs), <br> Color : Multi, <br> Saree Fabric : Handloom Cotton Soft Silk, <br> Saree Length : 5.5 Mtr, <br> Blouse Length : 0.8 Mtr, <br> Work Type : Digital Print, <br> Occasion : PartyWear, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions
",0,0,0,,,,,variant,Saree,1,,"Wekart Women's Handloom Cotton Soft Silk Saree (Multi, 5.5-6mtrs), ",1097,,,1,"[""AU"",""IN""]",100,0,1097,1207,"color,gender,material","Multi,Women,Handloom Cotton Soft Silk",1207,1,350
wekart-womens-cotton-silk-saree-with-blouse-black-5-6-mtrs-24874,"Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs)","Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs). <br>Material: Cotton, Silk, <br>Color: Black, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bsb2sa8yyypatti_black1,default,466,,"https://live.staticflickr.com/65535/49068354957_97e120ce4b_o_d.jpg,https://live.staticflickr.com/65535/49068354877_9d550aef4e_o_d.jpg,https://live.staticflickr.com/65535/49067628883_76860e1b9f_o_d.jpg","Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs)","Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs). <br>Material: Cotton, Silk, <br>Color: Black, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,Saree,1,,"Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs). ",423,,,1,"[""AU"",""IN""]",100,0,423,466,,,,,
wekart-womens-cotton-silk-saree-with-blouse-black-5-6-mtrs-24874,"Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs)","Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs). <br>Material: Cotton, Silk, <br>Color: Black, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb2sa8yyypatti_black1-black-women-cotton--silk,default,466,,,,"Wekart Women's Cotton, Silk Saree with Blouse (Black, 5-6 Mtrs). <br>Material: Cotton, Silk, <br>Color: Black, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,Saree,1,,,423,,,1,"[""AU"",""IN""]",100,0,423,466,"color,gender,material","Black,Women,Cotton Silk",466,100,435
wekart-womens-cotton-blend-saree-with-blouse-green-5-6-mtrs-24895,"Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs)","Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs). <br>Material: Cotton Blend, <br>Color: Green, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bsb2saayyynkita_green1,default,539,,"https://live.staticflickr.com/65535/49068365072_8842d33270_o_d.jpg,https://live.staticflickr.com/65535/49068365052_b369a88cc9_o_d.jpg,https://live.staticflickr.com/65535/49067638618_1d74496ed0_o_d.jpg","Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs)","Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs). <br>Material: Cotton Blend, <br>Color: Green, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,Saree,1,,"Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs). ",490,,,1,"[""AU"",""IN""]",100,0,490,539,,,,,
wekart-womens-cotton-blend-saree-with-blouse-green-5-6-mtrs-24895,"Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs)","Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs). <br>Material: Cotton Blend, <br>Color: Green, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb2saayyynkita_green1-green-women-cotton-blend,default,539,,,,"Wekart Women's Cotton Blend Saree with Blouse (Green, 5-6 Mtrs). <br>Material: Cotton Blend, <br>Color: Green, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,Saree,1,,,490,,,1,"[""AU"",""IN""]",100,0,490,539,"color,gender,material","Green,Women,Cotton Blend",539,100,435
wekart-womens-banarasi-silk-saree-with-blouse-multi-5-6-mtrs-24927,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs)","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bsb2saiyyykat-pan,default,1581,,"https://live.staticflickr.com/65535/49068373477_53e81dd499_o_d.jpg,https://live.staticflickr.com/65535/49067646823_4b2a8e9d32_o_d.jpg,https://live.staticflickr.com/65535/49067646858_f37eba9d36_o_d.jpg","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs)","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,Saree,1,,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). ",1437,,,1,"[""AU"",""IN""]",100,0,1437,1581,,,,,
wekart-womens-banarasi-silk-saree-with-blouse-multi-5-6-mtrs-24927,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs)","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb2saiyyykat-pan-multi-women-banarasi-silk,default,1581,,,,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,Saree,1,,,1437,,,1,"[""AU"",""IN""]",100,0,1437,1581,"color,gender,material","Multi,Women,Banarasi silk",1581,100,435
wekart-womens-banarasi-silk-saree-with-blouse-multi-5-6-mtrs-24929,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs)","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bsb2saiyyykat_leaf1,default,1581,,"https://live.staticflickr.com/65535/49067646598_1e6994d5e3_o_d.jpg,https://live.staticflickr.com/65535/49068373157_e072dafc4e_o_d.jpg,https://live.staticflickr.com/65535/49068165321_da2b61dfa1_o_d.jpg","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs)","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,Saree,1,,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). ",1437,,,1,"[""AU"",""IN""]",100,0,1437,1581,,,,,
wekart-womens-banarasi-silk-saree-with-blouse-multi-5-6-mtrs-24929,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs)","Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb2saiyyykat_leaf1-multi-women-banarasi-silk,default,1581,,,,"Wekart Women's Banarasi silk Saree with Blouse (Multi, 5-6 Mtrs). <br>Material: Banarasi silk, <br>Color: Multi, <br>Size: 5-6 Mtrs, <br> Style: Casual, <br>Gender: Women, <br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,Saree,1,,,1437,,,1,"[""AU"",""IN""]",100,0,1437,1581,"color,gender,material","Multi,Women,Banarasi silk",1581,100,435
